Ip const castspell
IP_CONST_CASTSPELL_* Constant Group
Itemproperty constants for adding "cast spell" to items.




Constants
Constant	Value	Description
IP_CONST_CASTSPELL_CURE_CRITICAL_WOUNDS_12	64	
IP_CONST_CASTSPELL_CURE_CRITICAL_WOUNDS_15	65	
IP_CONST_CASTSPELL_CURE_LIGHT_WOUNDS_2	66	
IP_CONST_CASTSPELL_CURE_LIGHT_WOUNDS_5	67	
IP_CONST_CASTSPELL_CURE_MINOR_WOUNDS_1	68	
IP_CONST_CASTSPELL_CURE_MODERATE_WOUNDS_3	69	
IP_CONST_CASTSPELL_CURE_MODERATE_WOUNDS_6	70	
IP_CONST_CASTSPELL_CURE_MODERATE_WOUNDS_10	71	
IP_CONST_CASTSPELL_CURE_SERIOUS_WOUNDS_5	72	
IP_CONST_CASTSPELL_CURE_SERIOUS_WOUNDS_10	73	
IP_CONST_CASTSPELL_DARKNESS_3	75	
IP_CONST_CASTSPELL_DARKVISION_3	305	
IP_CONST_CASTSPELL_DARKVISION_6	306	
IP_CONST_CASTSPELL_DAZE_1	76	
IP_CONST_CASTSPELL_DEATH_WARD_7	77	
IP_CONST_CASTSPELL_DELAYED_BLAST_FIREBALL_13	78	
IP_CONST_CASTSPELL_DELAYED_BLAST_FIREBALL_15	79	
IP_CONST_CASTSPELL_DELAYED_BLAST_FIREBALL_20	80	
IP_CONST_CASTSPELL_DESTRUCTION_13	307	
IP_CONST_CASTSPELL_DIRGE_15	376	
IP_CONST_CASTSPELL_DISMISSAL_7	81	
IP_CONST_CASTSPELL_DISMISSAL_12	82	
IP_CONST_CASTSPELL_DISMISSAL_18	83	
IP_CONST_CASTSPELL_DISPEL_MAGIC_5	84	
IP_CONST_CASTSPELL_DISPEL_MAGIC_10	85	
IP_CONST_CASTSPELL_DISPLACEMENT_9	389	
IP_CONST_CASTSPELL_DIVINE_FAVOR_5	345	
IP_CONST_CASTSPELL_DIVINE_MIGHT_5	395	
IP_CONST_CASTSPELL_DIVINE_POWER_7	86	
IP_CONST_CASTSPELL_DIVINE_SHIELD_5	396	
IP_CONST_CASTSPELL_DOMINATE_ANIMAL_5	87	
IP_CONST_CASTSPELL_DOMINATE_MONSTER_17	88	
IP_CONST_CASTSPELL_DOMINATE_PERSON_7	89	
IP_CONST_CASTSPELL_DOOM_2	90	
IP_CONST_CASTSPELL_DOOM_5	91	
IP_CONST_CASTSPELL_DRAGON_BREATH_ACID_10	400	
IP_CONST_CASTSPELL_DRAGON_BREATH_COLD_10	401	
IP_CONST_CASTSPELL_DRAGON_BREATH_FEAR_10	402	
IP_CONST_CASTSPELL_DRAGON_BREATH_FIRE_10	403	
IP_CONST_CASTSPELL_DRAGON_BREATH_GAS_10	404	
IP_CONST_CASTSPELL_DRAGON_BREATH_LIGHTNING_10	405	
IP_CONST_CASTSPELL_DRAGON_BREATH_PARALYZE_10	406	
IP_CONST_CASTSPELL_DRAGON_BREATH_SLEEP_10	407	
IP_CONST_CASTSPELL_DRAGON_BREATH_SLOW_10	408	
IP_CONST_CASTSPELL_DRAGON_BREATH_WEAKEN_10	409	
IP_CONST_CASTSPELL_DROWN_15	368	
IP_CONST_CASTSPELL_EAGLE_SPLEDOR_3	288	
IP_CONST_CASTSPELL_EAGLE_SPLEDOR_10	289	
IP_CONST_CASTSPELL_EAGLE_SPLEDOR_15	290	
IP_CONST_CASTSPELL_EARTHQUAKE_20	357	
IP_CONST_CASTSPELL_ELECTRIC_JOLT_1	370	
IP_CONST_CASTSPELL_ELEMENTAL_SHIELD_7	92	
IP_CONST_CASTSPELL_ELEMENTAL_SHIELD_12	93	
IP_CONST_CASTSPELL_ELEMENTAL_SWARM_17	94	
IP_CONST_CASTSPELL_ENDURANCE_3	95	
IP_CONST_CASTSPELL_ENDURANCE_10	96	
IP_CONST_CASTSPELL_ENDURANCE_15	97	
IP_CONST_CASTSPELL_ENDURE_ELEMENTS_2	98	
IP_CONST_CASTSPELL_ENERGY_BUFFER_11	311	
IP_CONST_CASTSPELL_ENERGY_BUFFER_15	312	
IP_CONST_CASTSPELL_ENERGY_BUFFER_20	313	
IP_CONST_CASTSPELL_ENERGY_DRAIN_17	99	
IP_CONST_CASTSPELL_ENERVATION_7	100	
IP_CONST_CASTSPELL_ENTANGLE_2	101	
IP_CONST_CASTSPELL_ENTANGLE_5	102	
IP_CONST_CASTSPELL_ENTROPIC_SHIELD_5	349	
IP_CONST_CASTSPELL_ETHEREAL_VISAGE_9	195	
IP_CONST_CASTSPELL_ETHEREAL_VISAGE_15	196	
IP_CONST_CASTSPELL_ETHEREALNESS_18	374	
IP_CONST_CASTSPELL_EVARDS_BLACK_TENTACLES_7	324	
IP_CONST_CASTSPELL_EVARDS_BLACK_TENTACLES_15	325	
IP_CONST_CASTSPELL_EXPEDITIOUS_RETREAT_5	387	
IP_CONST_CASTSPELL_FEAR_5	103	
IP_CONST_CASTSPELL_FEEBLEMIND_9	104	
IP_CONST_CASTSPELL_FIND_TRAPS_3	327	
IP_CONST_CASTSPELL_FINGER_OF_DEATH_13	105	
IP_CONST_CASTSPELL_FIRE_STORM_13	106	
IP_CONST_CASTSPELL_FIRE_STORM_18	107	
IP_CONST_CASTSPELL_FIREBALL_5	108	
IP_CONST_CASTSPELL_FIREBALL_10	109	
IP_CONST_CASTSPELL_FIREBRAND_15	371	
IP_CONST_CASTSPELL_FLAME_ARROW_5	110	
IP_CONST_CASTSPELL_FLAME_ARROW_12	111	
IP_CONST_CASTSPELL_FLAME_ARROW_18	112	
IP_CONST_CASTSPELL_FLAME_LASH_3	113	
IP_CONST_CASTSPELL_FLAME_LASH_10	114	
IP_CONST_CASTSPELL_FLAME_STRIKE_7	115	
IP_CONST_CASTSPELL_FLAME_STRIKE_12	116	
IP_CONST_CASTSPELL_FLAME_STRIKE_18	117	
IP_CONST_CASTSPELL_FLARE_1	347	
IP_CONST_CASTSPELL_FLESH_TO_STONE_5	398	
IP_CONST_CASTSPELL_FOXS_CUNNING_3	294	
IP_CONST_CASTSPELL_FOXS_CUNNING_10	295	
IP_CONST_CASTSPELL_FOXS_CUNNING_15	296	
IP_CONST_CASTSPELL_FREEDOM_OF_MOVEMENT_7	118	
IP_CONST_CASTSPELL_GATE_17	119	
IP_CONST_CASTSPELL_GHOSTLY_VISAGE_3	192	
IP_CONST_CASTSPELL_GHOSTLY_VISAGE_9	193	
IP_CONST_CASTSPELL_GHOSTLY_VISAGE_15	194	
IP_CONST_CASTSPELL_GHOUL_TOUCH_3	120	
IP_CONST_CASTSPELL_GLOBE_OF_INVULNERABILITY_11	121	
IP_CONST_CASTSPELL_GREASE_2	122	
IP_CONST_CASTSPELL_GREATER_BULLS_STRENGTH_11	300	
IP_CONST_CASTSPELL_GREATER_CATS_GRACE_11	301	
IP_CONST_CASTSPELL_GREATER_DISPELLING_7	123	
IP_CONST_CASTSPELL_GREATER_DISPELLING_15	124	
IP_CONST_CASTSPELL_GREATER_EAGLES_SPLENDOR_11	297	
IP_CONST_CASTSPELL_GREATER_ENDURANCE_11	302	
IP_CONST_CASTSPELL_GREATER_FOXS_CUNNING_11	299	
IP_CONST_CASTSPELL_GREATER_MAGIC_FANG_9	384	
IP_CONST_CASTSPELL_GREATER_OWLS_WISDOM_11	298	
IP_CONST_CASTSPELL_GREATER_PLANAR_BINDING_15	126	
IP_CONST_CASTSPELL_GREATER_RESTORATION_13	127	
IP_CONST_CASTSPELL_GREATER_SHADOW_CONJURATION_9	128	
IP_CONST_CASTSPELL_GREATER_SPELL_BREACH_11	129	
IP_CONST_CASTSPELL_GREATER_SPELL_MANTLE_17	130	
IP_CONST_CASTSPELL_GREATER_STONESKIN_11	131	
IP_CONST_CASTSPELL_GRENADE_ACID_1	341	
IP_CONST_CASTSPELL_GRENADE_CALTROPS_1	343	
IP_CONST_CASTSPELL_GRENADE_CHICKEN_1	342	
IP_CONST_CASTSPELL_GRENADE_CHOKING_1	339	
IP_CONST_CASTSPELL_GRENADE_FIRE_1	336	
IP_CONST_CASTSPELL_GRENADE_HOLY_1	338	
IP_CONST_CASTSPELL_GRENADE_TANGLE_1	337	
IP_CONST_CASTSPELL_GRENADE_THUNDERSTONE_1	340	
IP_CONST_CASTSPELL_GUST_OF_WIND_10	410	
IP_CONST_CASTSPELL_HAMMER_OF_THE_GODS_7	133	
IP_CONST_CASTSPELL_HAMMER_OF_THE_GODS_12	134	
IP_CONST_CASTSPELL_HARM_11	136	
IP_CONST_CASTSPELL_HASTE_5	137	
IP_CONST_CASTSPELL_HASTE_10	138	
IP_CONST_CASTSPELL_HEAL_11	139	
IP_CONST_CASTSPELL_HEALING_CIRCLE_9	140	
IP_CONST_CASTSPELL_HEALING_CIRCLE_16	141	
IP_CONST_CASTSPELL_HOLD_ANIMAL_3	142	
IP_CONST_CASTSPELL_HOLD_MONSTER_7	143	
IP_CONST_CASTSPELL_HOLD_PERSON_3	144	
IP_CONST_CASTSPELL_HORRID_WILTING_15	308	
IP_CONST_CASTSPELL_HORRID_WILTING_20	309	
IP_CONST_CASTSPELL_ICE_STORM_9	310	
IP_CONST_CASTSPELL_IDENTIFY_3	147	
IP_CONST_CASTSPELL_IMPLOSION_17	148	
IP_CONST_CASTSPELL_IMPROVED_INVISIBILITY_7	149	
IP_CONST_CASTSPELL_INCENDIARY_CLOUD_15	150	
IP_CONST_CASTSPELL_INFERNO_15	377	
IP_CONST_CASTSPELL_INFLICT_CRITICAL_WOUNDS_12	366	
IP_CONST_CASTSPELL_INFLICT_LIGHT_WOUNDS_5	363	
IP_CONST_CASTSPELL_INFLICT_MINOR_WOUNDS_1	362	
IP_CONST_CASTSPELL_INFLICT_MODERATE_WOUNDS_7	364	
IP_CONST_CASTSPELL_INFLICT_SERIOUS_WOUNDS_9	365	
IP_CONST_CASTSPELL_INVISIBILITY_3	151	
IP_CONST_CASTSPELL_INVISIBILITY_PURGE_5	152	
IP_CONST_CASTSPELL_INVISIBILITY_SPHERE_5	153	
IP_CONST_CASTSPELL_ISAACS_GREATER_MISSILE_STORM_15	379	
IP_CONST_CASTSPELL_ISAACS_LESSER_MISSILE_STORM_13	378	
IP_CONST_CASTSPELL_KNOCK_3	154	
IP_CONST_CASTSPELL_LEGEND_LORE_5	326	
IP_CONST_CASTSPELL_LESSER_DISPEL_3	155	
IP_CONST_CASTSPELL_LESSER_DISPEL_5	156	
IP_CONST_CASTSPELL_LESSER_MIND_BLANK_9	157	
IP_CONST_CASTSPELL_LESSER_PLANAR_BINDING_9	158	
IP_CONST_CASTSPELL_LESSER_RESTORATION_3	159	
IP_CONST_CASTSPELL_LESSER_SPELL_BREACH_7	160	
IP_CONST_CASTSPELL_LESSER_SPELL_MANTLE_9	161	
IP_CONST_CASTSPELL_LIGHT_1	162	
IP_CONST_CASTSPELL_LIGHT_5	163	
IP_CONST_CASTSPELL_LIGHTNING_BOLT_5	164	
IP_CONST_CASTSPELL_LIGHTNING_BOLT_10	165	
IP_CONST_CASTSPELL_MAGE_ARMOR_2	167	
IP_CONST_CASTSPELL_MAGIC_CIRCLE_AGAINST_ALIGNMENT_5	286	
IP_CONST_CASTSPELL_MAGIC_FANG_5	383	
IP_CONST_CASTSPELL_MAGIC_MISSILE_3	172	
IP_CONST_CASTSPELL_MAGIC_MISSILE_5	173	
IP_CONST_CASTSPELL_MAGIC_MISSILE_9	174	
IP_CONST_CASTSPELL_MANIPULATE_PORTAL_STONE	344	
IP_CONST_CASTSPELL_MASS_BLINDNESS_DEAFNESS_15	179	
IP_CONST_CASTSPELL_MASS_CAMOFLAGE_13	386	
IP_CONST_CASTSPELL_MASS_CHARM_15	180	
IP_CONST_CASTSPELL_MASS_HASTE_11	182	
IP_CONST_CASTSPELL_MASS_HEAL_15	183	
IP_CONST_CASTSPELL_MELFS_ACID_ARROW_3	184	
IP_CONST_CASTSPELL_MELFS_ACID_ARROW_6	185	
IP_CONST_CASTSPELL_MELFS_ACID_ARROW_9	186	
IP_CONST_CASTSPELL_METEOR_SWARM_17	187	
IP_CONST_CASTSPELL_MIND_BLANK_15	188	
IP_CONST_CASTSPELL_MIND_FOG_9	189	
IP_CONST_CASTSPELL_MINOR_GLOBE_OF_INVULNERABILITY_7	190	
IP_CONST_CASTSPELL_MINOR_GLOBE_OF_INVULNERABILITY_15	191	
IP_CONST_CASTSPELL_MORDENKAINENS_DISJUNCTION_17	197	
IP_CONST_CASTSPELL_MORDENKAINENS_SWORD_13	198	
IP_CONST_CASTSPELL_MORDENKAINENS_SWORD_18	199	
IP_CONST_CASTSPELL_NATURES_BALANCE_15	200	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_BURST_5	314	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_BURST_10	315	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_PROTECTION_5	201	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_PROTECTION_10	202	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_PROTECTION_15	203	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_RAY_1	316	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_RAY_3	317	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_RAY_5	318	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_RAY_7	319	
IP_CONST_CASTSPELL_NEGATIVE_ENERGY_RAY_9	320	
IP_CONST_CASTSPELL_NEUTRALIZE_POISON_5	204	
IP_CONST_CASTSPELL_ONE_WITH_THE_LAND_7	351	
IP_CONST_CASTSPELL_OWLS_INSIGHT_15	369	
IP_CONST_CASTSPELL_OWLS_WISDOM_10	292	
IP_CONST_CASTSPELL_OWLS_WISDOM_15	293	
IP_CONST_CASTSPELL_OWLS_WISDOM_3	291	
IP_CONST_CASTSPELL_PHANTASMAL_KILLER_7	205	
IP_CONST_CASTSPELL_PLANAR_ALLY_15	382	
IP_CONST_CASTSPELL_PLANAR_BINDING_11	206	
IP_CONST_CASTSPELL_POISON_5	207	
IP_CONST_CASTSPELL_POLYMORPH_SELF_7	208	
IP_CONST_CASTSPELL_POWER_WORD_KILL_17	209	
IP_CONST_CASTSPELL_POWER_WORD_STUN_13	210	
IP_CONST_CASTSPELL_PRAYER_5	211	
IP_CONST_CASTSPELL_PREMONITION_15	212	
IP_CONST_CASTSPELL_PRISMATIC_SPRAY_13	213	
IP_CONST_CASTSPELL_PROTECTION_FROM_ALIGNMENT_2	284	
IP_CONST_CASTSPELL_PROTECTION_FROM_ALIGNMENT_5	285	
IP_CONST_CASTSPELL_PROTECTION_FROM_ELEMENTS_3	216	
IP_CONST_CASTSPELL_PROTECTION_FROM_ELEMENTS_10	217	
IP_CONST_CASTSPELL_PROTECTION_FROM_SPELLS_13	224	
IP_CONST_CASTSPELL_PROTECTION_FROM_SPELLS_20	225	
IP_CONST_CASTSPELL_QUILLFIRE_8	356	
IP_CONST_CASTSPELL_RAISE_DEAD_9	226	
IP_CONST_CASTSPELL_RAY_OF_ENFEEBLEMENT_2	227	
IP_CONST_CASTSPELL_RAY_OF_FROST_1	228	
IP_CONST_CASTSPELL_REGENERATE_13	323	
IP_CONST_CASTSPELL_REMOVE_BLINDNESS_DEAFNESS_5	229	
IP_CONST_CASTSPELL_REMOVE_CURSE_5	230	
IP_CONST_CASTSPELL_REMOVE_DISEASE_5	231	
IP_CONST_CASTSPELL_REMOVE_FEAR_2	232	
IP_CONST_CASTSPELL_REMOVE_PARALYSIS_3	233	
IP_CONST_CASTSPELL_RESIST_ELEMENTS_3	234	
IP_CONST_CASTSPELL_RESIST_ELEMENTS_10	235	
IP_CONST_CASTSPELL_RESISTANCE_2	236	
IP_CONST_CASTSPELL_RESISTANCE_5	237	
IP_CONST_CASTSPELL_RESTORATION_7	238	
IP_CONST_CASTSPELL_RESURRECTION_13	239	
IP_CONST_CASTSPELL_ROGUES_CUNNING_3	328	
IP_CONST_CASTSPELL_SANCTUARY_2	240	
IP_CONST_CASTSPELL_SCARE_2	241	
IP_CONST_CASTSPELL_SEARING_LIGHT_5	242	
IP_CONST_CASTSPELL_SEE_INVISIBILITY_3	243	
IP_CONST_CASTSPELL_SHADES_11	244	
IP_CONST_CASTSPELL_SHADOW_CONJURATION_7	245	
IP_CONST_CASTSPELL_SHADOW_SHIELD_13	246	
IP_CONST_CASTSPELL_SHAPECHANGE_17	247	
IP_CONST_CASTSPELL_SHIELD_5	348	
IP_CONST_CASTSPELL_SHIELD_OF_FAITH_5	381	
IP_CONST_CASTSPELL_SILENCE_3	249	
IP_CONST_CASTSPELL_SLAY_LIVING_9	250	
IP_CONST_CASTSPELL_SLEEP_2	251	
IP_CONST_CASTSPELL_SLEEP_5	252	
IP_CONST_CASTSPELL_SLOW_5	253	
IP_CONST_CASTSPELL_SOUND_BURST_3	254	
IP_CONST_CASTSPELL_SPECIAL_ALCOHOL_BEER	330	
IP_CONST_CASTSPELL_SPECIAL_ALCOHOL_SPIRITS	332	
IP_CONST_CASTSPELL_SPECIAL_ALCOHOL_WINE	331	
IP_CONST_CASTSPELL_SPECIAL_HERB_BELLADONNA	333	
IP_CONST_CASTSPELL_SPECIAL_HERB_GARLIC	334	
IP_CONST_CASTSPELL_SPELL_MANTLE_13	257	
IP_CONST_CASTSPELL_SPELL_RESISTANCE_9	255	
IP_CONST_CASTSPELL_SPELL_RESISTANCE_15	256	
IP_CONST_CASTSPELL_SPIKE_GROWTH_9	385	
IP_CONST_CASTSPELL_STINKING_CLOUD_5	259	
IP_CONST_CASTSPELL_STONE_TO_FLESH_5	399	
IP_CONST_CASTSPELL_STONESKIN_7	260	
IP_CONST_CASTSPELL_STORM_OF_VENGEANCE_17	261	
IP_CONST_CASTSPELL_SUMMON_CREATURE_I_2	262	
IP_CONST_CASTSPELL_SUMMON_CREATURE_I_5	263	
IP_CONST_CASTSPELL_SUMMON_CREATURE_II_3	264	
IP_CONST_CASTSPELL_SUMMON_CREATURE_III_5	265	
IP_CONST_CASTSPELL_SUMMON_CREATURE_IV_7	266	
IP_CONST_CASTSPELL_SUMMON_CREATURE_V_9	268	
IP_CONST_CASTSPELL_SUMMON_CREATURE_VI_11	269	
IP_CONST_CASTSPELL_SUMMON_CREATURE_VII_13	270	
IP_CONST_CASTSPELL_SUMMON_CREATURE_VIII_15	271	
IP_CONST_CASTSPELL_SUMMON_CREATURE_IX_17	267	
IP_CONST_CASTSPELL_SUNBEAM_13	272	
IP_CONST_CASTSPELL_SUNBURST_20	358	
IP_CONST_CASTSPELL_TASHAS_HIDEOUS_LAUGHTER_7	388	
IP_CONST_CASTSPELL_TENSERS_TRANSFORMATION_11	273	
IP_CONST_CASTSPELL_TIME_STOP_17	274	
IP_CONST_CASTSPELL_TRUE_SEEING_9	275	
IP_CONST_CASTSPELL_TRUE_STRIKE_5	346	
IP_CONST_CASTSPELL_UNDEATHS_ETERNAL_FOE_20	375	
IP_CONST_CASTSPELL_UNIQUE_POWER	329	
IP_CONST_CASTSPELL_UNIQUE_POWER_SELF_ONLY	335	
IP_CONST_CASTSPELL_VAMPIRIC_TOUCH_5	277	
IP_CONST_CASTSPELL_VIRTUE_1	278	
IP_CONST_CASTSPELL_WAIL_OF_THE_BANSHEE_17	279	
IP_CONST_CASTSPELL_WALL_OF_FIRE_9	280	
IP_CONST_CASTSPELL_WAR_CRY_7	322	
IP_CONST_CASTSPELL_WEB_3	281	
IP_CONST_CASTSPELL_WEIRD_17	282	
IP_CONST_CASTSPELL_WORD_OF_FAITH_13	283	
IP_CONST_CASTSPELL_WOUNDING_WHISPERS_9	372	


See Also
functions: 	
ItemPropertyCastSpell

Category: Constants
Navigation menuPage actions
PageDiscussionView sourceHistory
Personal tools
Log in
Navigation
Main page
NWN:EE
Patches
Recent changes
Random page
All pages
Help
Search
Search NWN Lexicon
 
Categories
Constants
 Data Types
Events
Functions
Game Include
Neverwinter Nights Enhanced Edition
Primers
Resources
Tutorials
Tools
What links here
Related changes
Special pages
Printable version
Permanent link
Page information
GNU Free Documentation Licence 1.1Powered by MediaWiki
This page was last edited on 26 May 2022, at 15:50.Content is available under GNU Free Documentation Licence 1.1 unless otherwise noted. Privacy policyAbout NWN LexiconDisclaimers
